"name","city","state","inserted_at","updated_at"
"Airways Golf Club","West Suffiled","CT","2015-11-20","2015-11-20"
"Alling Memorial Golf Club","New Haven","CT","2015-11-20","2015-11-20"
"Aspetuck Valley Country Club","Weston","CT","2015-11-20","2015-11-20"
"Banner Country Club","Moodus","CT","2015-11-20","2015-11-20"
"Birchwood Country Club","Westport","CT","2015-11-20","2015-11-20"
"Black Hall Club","Old Lyme","CT","2015-11-20","2015-11-20"
"Blackledge Country Club - Anderson's Glen","Hebron","CT","2015-11-20","2015-11-20"
"Blackledge Country Club - Gilead Highlands","Hebron","CT","2015-11-20","2015-11-20"
"Blue Fox Run Golf Club - Blue/White Course","Avon","CT","2015-11-20","2015-11-20"
"Blue Fox Run Golf Club - Red/Blue Course","Avon","CT","2015-11-20","2015-11-20"
"Blue Fox Run Golf Club - Red/White Course","Avon","CT","2015-11-20","2015-11-20"
"Brooklawn Country Club","Fairfield","CT","2015-11-20","2015-11-20"
"Brooklyn Country Club","Danielson","CT","2015-11-20","2015-11-20"
"Brownson Country Club","Huntington","CT","2015-11-20","2015-11-20"
"Buena Vista Golf Course","West Hartford","CT","2015-11-20","2015-11-20"
"Bulls Bridge Golf Club","South Kent","CT","2015-11-20","2015-11-20"
"Burning Tree Country Club","Greenwich","CT","2015-11-20","2015-11-20"
"Canaan Country Club","North Canaan","CT","2015-11-20","2015-11-20"
"Candlewood Lake Club","Brookfield","CT","2015-11-20","2015-11-20"
"Candlewood Valley Country Club","New Milford","CT","2015-11-20","2015-11-20"
"Cedar Knob Golf Course","Somers","CT","2015-11-20","2015-11-20"
"Chanticlair Golf Club","Colchester","CT","2015-11-20","2015-11-20"
"Chippanee Golf Club","Bristol","CT","2015-11-20","2015-11-20"
"Clinton Country Club","Clinton","CT","2015-11-20","2015-11-20"
"Club at River Oaks","Sherman","CT","2015-11-20","2015-11-20"
"Connecticut Golf Club","Easton","CT","2015-11-20","2015-11-20"
"Connecticut National Golf Club","Putnam","CT","2015-11-20","2015-11-20"
"Copper Hill Golf Club","East Granby","CT","2015-11-20","2015-11-20"
"Country Club of Darien","Darien","CT","2015-11-20","2015-11-20"
"Country Club of Fairfield","Fairfield","CT","2015-11-20","2015-11-20"
"Country Club of Farmington","Farmington","CT","2015-11-20","2015-11-20"
"Country Club of New Canaan","New Canaan","CT","2015-11-20","2015-11-20"
"Country Club of Waterbury","Waterbury","CT","2015-11-20","2015-11-20"
"Country Club of Woodbridge","Woodbridge","CT","2015-11-20","2015-11-20"
"Crestbrook Park Golf Club","Watertown","CT","2015-11-20","2015-11-20"
"E. Gaynor Brennan Golf Club","Stamford","CT","2015-11-20","2015-11-20"
"E. Gaynor Brennan Golf Course","Stamford","CT","2015-11-20","2015-11-20"
"East Hartford Golf Club","East Hartford","CT","2015-11-20","2015-11-20"
"East Mountain Golf Course","Waterbury","CT","2015-11-20","2015-11-20"
"Eastwood Country Club","Torrington","CT","2015-11-20","2015-11-20"
"Ellington Ridge Country Club","Ellington","CT","2015-11-20","2015-11-20"
"Elmridge Golf Course - Blue/Red Course","Pawcatuck","CT","2015-11-20","2015-11-20"
"Elmridge Golf Course - Red/White Course","Pawcatuck","CT","2015-11-20","2015-11-20"
"Elmridge Golf Course - White/Blue Course","Pawcatuck","CT","2015-11-20","2015-11-20"
"Fairview Country Club","Greenwich","CT","2015-11-20","2015-11-20"
"Fairview Farm Golf Course","Harwinton","CT","2015-11-20","2015-11-20"
"Farmingbury Hills Country Club","Wolcott","CT","2015-11-20","2015-11-20"
"Farmington Woods Country Club","Avon","CT","2015-11-20","2015-11-20"
"Fenwick Golf Course","Old Saybrook","CT","2015-11-20","2015-11-20"
"Fox Hopyard Golf Club","East Haddam","CT","2015-11-20","2015-11-20"
"Gainfield Farms","Southbury","CT","2015-11-20","2015-11-20"
"Gillette Ridge Golf Club","Bloomfield","CT","2015-11-20","2015-11-20"
"Glastonbury Hills Country Club","South Glastonbury","CT","2015-11-20","2015-11-20"
"Golf Club of Avon - Blue Course","Avon","CT","2015-11-20","2015-11-20"
"Golf Club of Avon - Composite Course 2015","Avon","CT","2015-11-20","2015-11-20"
"Golf Club of Avon - Red Course","Avon","CT","2015-11-20","2015-11-20"
"Golf Club of Avon - White Course","Avon","CT","2015-11-20","2015-11-20"
"Goodwin Golf Course","Hartford","CT","2015-11-20","2015-11-20"
"Goose Run Golf Course","Groton","CT","2015-11-20","2015-11-20"
"Grassmere Country Club","Enfield","CT","2015-11-20","2015-11-20"
"Grassy Hill Country Club","Orange","CT","2015-11-20","2015-11-20"
"Great Neck Country Club","Waterford","CT","2015-11-20","2015-11-20"
"Great River Golf Club","Milford","CT","2015-11-20","2015-11-20"
"Green Woods Country Club","Winsted","CT","2015-11-20","2015-11-20"
